User ID,User Difficulty Choice,User Read Books (2017),User Read Books (2018),Average Rating (2017)
ID181180893,3,"7952, 7472, 7929, 5903","6451, 5748, 6563, 6735, 5942",1.6880287677934533
ID65886319,4,5259,"7050, 7305",5.776730229199773
ID469683411,4,"7406, 6326, 6154, 6501","5321, 7324, 7653, 6866, 5564",3.7223654071732635
ID880827798,4,"7831, 6063, 6768, 7874, 7278, 6910, 6177","5081, 6062, 5036, 5523, 7350, 7378, 5740, 7023",0.819814554242147
ID44990350,5,7392,"6722, 7217",10.0
ID202013184,5,6699,6884,5.724790502532279
ID135435167,2,6862,"7780, 6434",2.1938451263267895
ID517894677,1,5469,7029,5.054313525420929
ID616622537,Not specified,"5531, 7450, 6711, 5063","7276, 7857, 7609, 6701, 7732",4.9801908648832995
ID821484095,4,"7455, 7695","7285, 5146",3.0017168972298376
ID191352596,1,5992,5430,3.758130749081432
ID279822760,4,"6332, 7277, 7091, 6174","7059, 7210, 7671, 5340, 6264",4.08228618076765
ID987027602,1,"5010, 5612","7132, 7921, 5852",2.202933276173018
ID279566621,5,7941,5003,4.123126582655925
ID460559658,4,"6106, 7968, 6496","5888, 7108, 6226",4.908101553937654
ID899115645,1,7489,6299,2.934080407038935
ID460559208,Not specified,"6755, 5194, 6709, 7569","5342, 6379, 5355, 5230",4.404772823538399
ID920639038,Not specified,"6831, 6015, 5408, 6749, 6400, 6118","5784, 5848, 5388, 7259, 6770, 7741",1.6324055325901357
ID147611431,2,"6312, 6143, 5213","6527, 7454, 7632",3.0109390582493867
ID597636002,4,"6689, 7225, 7192, 6666, 6778, 7196","6901, 7546, 7649, 6191, 7394, 5072",4.233213852119607
ID155440293,1,7705,6810,4.540120995526097
ID897103713,Not specified,7472,5388,3.941411910058689
ID922720935,1,5558,7196,4.891109711517343
ID976545907,5,7052,"7876, 6749",1.3557207173193313
ID81801348,3,"5294, 6097","7924, 5379",2.5145774915935615
ID37488988,Not specified,"6937, 6223","7424, 6959, 6766",0.6694553520108687
ID217783428,5,"5763, 7855, 5594, 7707","7220, 7677, 5318, 5352, 5378",3.610505017406477
ID241252126,3,7434,"5301, 5642",4.4440235790443445
ID368504127,Not specified,"7059, 6608, 5516, 7710, 5146, 7541","6430, 5130, 5409, 6767, 6718, 6854",3.3768146641527355
ID218619633,2,7319,"5797, 7539",2.3800746213085677
ID425483117,4,"5868, 6549, 6522, 6717, 5318, 6812","7590, 5293, 7615, 6405, 7000, 5967",1.0328276938275531
ID73551755,1,"5274, 7188, 5085, 6741","6152, 7790, 5890, 6585, 6261",3.0791827378832366
ID274259544,3,6285,5263,4.524493727613809
ID188299295,Not specified,7314,7408,5.431721507070539
ID339743173,4,"7831, 6070, 6907","7853, 5740, 7659",2.252646215548891
ID367131613,5,6513,"6205, 5910",6.625255566281732
ID859145987,Not specified,7576,7657,5.074438381622545
ID589961426,Not specified,"6747, 7301, 7648, 7486","6688, 5010, 6708, 7281, 7967",5.480541684056423
ID911924702,4,"5432, 6517, 5877, 5238","5241, 5557, 7317, 6588, 7757",4.167513496130875
ID453438581,2,5601,6645,4.683961435140026
ID306197330,3,"7286, 6393, 6439, 7356","6730, 5144, 7826, 5107, 5044",3.1709877582927115
ID430750915,Not specified,"5675, 6853, 7957, 5691","6965, 5521, 6919, 6822, 5591",2.0069957255681974
ID552937064,3,"5402, 5195, 5134, 7208","6020, 5585, 7904, 5228, 5618",4.42953874663921
ID779981843,4,"6550, 6264, 7616, 5636, 5219, 5574","7367, 5303, 5283, 7733, 5885, 6926",3.9605852793143606
ID419443009,3,"6803, 5239, 5312, 6928, 6880, 5403, 5712","7877, 7593, 6476, 7108, 6068, 5167, 5702, 5298",4.861044267278762
ID995349791,1,7560,5275,2.3202466699226365
ID16587380,Not specified,"6316, 5500, 6936, 6047","6934, 7491, 5531, 6019, 7531",2.0276211958450325
ID629051368,4,"6360, 5675","5163, 5942",4.334332057966352
ID68733546,3,"6639, 6366, 7011","5739, 7132, 5975",2.415140854414814
ID65093273,1,"5071, 5927, 7705, 6328","5610, 7823, 6216, 7026, 6744",3.8506650065041312
ID623861185,3,"5211, 6541, 7380, 5854","7522, 7815, 6391, 5626, 6207",4.225449374486219
ID151071873,3,"7549, 5102, 7472, 6485","6143, 6364, 7664, 7350, 7275",4.390299819402301
ID912497112,5,"6253, 7262, 5191, 7532, 7596, 6351, 5859","6375, 6505, 6816, 5123, 5795, 5726, 5049, 6601",7.624515691980511
ID668327117,4,"5492, 7408, 5472","5285, 5257, 5735",5.029902389614015
ID859286471,5,6302,"6785, 6891",4.75391922795729
ID47548924,4,"6733, 6314, 5397","7741, 5244, 6033",3.5033353604335886
ID909000489,2,7098,5554,2.5054221060834228
ID456882065,Not specified,"7183, 6082, 6938, 6510","7092, 5572, 6411, 6109",6.0572385387520296
ID912922097,1,"6127, 6051, 5269, 7657","7844, 6062, 5331, 6320, 6136",1.771135954416208
ID584041727,4,7177,"5534, 5629",1.5194501486579997
ID288529313,4,"7768, 5038","6112, 6517",2.313686287984933
ID508008929,3,7902,"7659, 6155",0.7821421809087674
ID49160030,2,7603,7992,2.4052799201910853
ID427908668,2,7914,"7328, 6377",1.52882645077461
ID202313477,1,"5590, 5253, 7592, 5340","5307, 7998, 7215, 6763, 6190",4.627989642681244
ID894128863,Not specified,6550,5989,3.8847828219782485
ID769668747,2,"5498, 6623, 6697","6791, 6421, 5309",3.850174977166637
ID527976581,Not specified,"6854, 5435, 6346, 6869","5441, 7748, 7022, 6348, 6096",3.862703932618152
ID110330251,4,"6035, 7238, 6820, 5816","7322, 6426, 5981, 6336, 6519",5.805133812585115
ID216591291,Not specified,5427,"7361, 6131",2.1583759140124776
ID427882816,Not specified,6855,6953,5.239900474170873
ID38895551,5,5612,"7564, 7399",1.8584187966276504
ID149772141,1,"6453, 5476, 5758","5928, 5489, 7723",4.399462361963331
ID24925401,2,"7983, 5461, 5416, 5055, 5749","6212, 5563, 5592, 7717, 6227",4.565909944074031
ID106770399,2,6332,5181,2.260820326054909
ID291634585,Not specified,"7238, 6308, 7926","6207, 7766, 6412",2.207768104071303
ID711449232,3,"6733, 7020, 6452","5247, 7797, 7208",3.867098810750105
ID995132838,5,6832,"5717, 6239",5.37014311623941
ID75840944,3,"7503, 6900, 7883, 7047","5032, 7647, 6892, 5957",3.9830775707798427
ID428424853,2,"6154, 6533","6653, 7756, 5385",3.391806491881741
ID764848318,4,7237,5658,5.557104236432366
ID491121736,5,5666,"7745, 6034",1.5510555680649882
ID492488877,4,"5725, 7528, 7090","5320, 6778, 7734",2.251993675223958
ID597185289,5,"6999, 7920, 7199, 7115","5827, 7245, 5879, 6524",6.094947723078078
ID76810758,2,"5560, 6170","5490, 5091",4.710673786920908
ID114938844,5,"7063, 7271, 5437, 6984, 7034, 6135, 7697","7319, 5015, 7954, 7821, 7651, 5051, 6827, 7976",3.7376400261281426
ID549038892,4,6899,6888,0.7329598287256169
ID215267853,1,7540,6556,1.2789638244987183
ID357847571,4,6332,5424,0.5983474852111543
ID720259653,1,"5956, 7904, 5952, 6642, 5449","5824, 6092, 5640, 5680, 6401",4.336294493178164
ID300396959,1,6712,5230,2.436738999062628
ID821461003,2,"5765, 7255, 5529","6033, 7420, 5520",5.886422481150866
ID522194838,1,"5535, 6226","6780, 5484, 5209",2.7240814752180835
ID260014248,5,"7292, 7051, 5674, 5319, 7612","6112, 5694, 6753, 7840, 6569",5.474363584726883
ID481545622,1,"5184, 7466, 7719, 5186","6174, 5934, 5742, 5228, 5867",3.354232593031801
ID500796081,4,"6852, 7212","7136, 5680",3.580991876859353
ID362642679,5,6405,6659,0.0
ID217373272,3,"7366, 6037, 5525, 7187","7721, 7512, 7734, 6368, 6363",2.0674208824800253
ID763718092,4,"6337, 7664, 7556, 6175","7697, 5015, 7291, 5594, 5560",2.56215134776956
ID419673648,1,"7262, 5968, 5541, 6707, 7201, 7506, 6283","7956, 6992, 7161, 6456, 7736, 5630, 7212, 7433",5.97147534024379
ID681470863,Not specified,"7108, 6575, 5949, 7787, 6247","6810, 6870, 5377, 7953, 6432",2.8952995578514806
ID91648413,3,5902,7989,4.495035858444298
ID491606867,5,6674,7110,7.663111921696966
ID399657797,1,6334,7933,4.261934676566274
ID163202296,3,6321,5431,0.45050629055555635
ID792297980,3,7500,5317,5.356600368242302
ID118005088,1,"6141, 5661, 6527","5309, 6861, 6117",3.592899072236962
ID587640452,Not specified,5959,7872,0.6394567232574329
ID621375925,4,"5484, 5571, 5181","6313, 7547, 5205",3.895723257426628
ID858826027,3,"5491, 7628, 6603, 6730","6684, 5946, 5663, 6997",1.975164113168157
ID821762191,4,5298,5087,2.2866615847226246
ID984446548,5,"7874, 6119","6235, 6225",4.40492134653445
ID14340454,2,"5858, 6573, 6165","6393, 7880, 5629",1.5619558083997667
ID795074633,Not specified,"7291, 7910, 7674, 5225, 6454, 5065","5642, 5146, 7260, 7687, 7417, 7769",1.0869358608329842
ID161290262,5,7945,6554,3.222915396623859
ID357640458,4,5370,5755,2.4315937476349285
ID264850974,5,"5011, 6757, 6040, 6200","6999, 6058, 7947, 5959, 5985",2.0922340859563846
ID933518993,5,"6940, 5315","5826, 7738",6.287503309791198
ID992113526,Not specified,6160,6031,5.756500614732206
ID570310554,Not specified,5547,"7031, 5700",2.7203000274596483
ID775117701,3,7955,7235,1.80328318131472
ID628802743,2,"6274, 7316, 7318","5732, 7436, 5546",5.779963345888192
ID88839280,2,7987,5045,6.421369442598342
ID715454958,Not specified,"5727, 6128","7055, 5530",3.5829911826097014
ID914546034,1,6967,7709,5.8487602760927295
ID732844214,5,"5453, 5818, 5139, 7758, 5733, 6911","6304, 7037, 7437, 6588, 7530, 7757",2.366185288506887
ID227936301,4,"7556, 5599, 7564, 7764","6891, 7338, 6332, 6896, 7233",5.9761310325844565
ID646722994,2,"7441, 7123, 5032","6673, 7830, 5984",3.3057791385828175
ID352586635,2,"6422, 7474","7623, 7472",2.2065033998451695
ID763955321,Not specified,5359,6147,6.152238205316014
ID313485992,5,5830,7571,4.272630378706502
ID669986907,3,"5003, 7077, 6387, 5712, 7753, 7656","6300, 7903, 5104, 7406, 6676, 6945",1.6040729213411307
ID982694973,1,7924,"5210, 6881",5.4601887685691155
ID299405479,Not specified,"6885, 5740, 5957","5920, 7074, 7223",4.722406270545543
ID376880549,1,5989,7832,4.118812786219099
ID791012069,2,7131,6658,2.4426964840001784
ID580761588,3,"7769, 7755","6973, 7976, 7417",3.443717032089965
ID164714115,2,6123,5859,6.803520505541756
ID142454109,2,6036,7178,3.0299806826570017
ID623864628,5,5200,5102,6.849188894887714
ID329412548,2,7908,7133,6.530223993367162
ID249434068,3,6410,"5518, 5542",4.463146965816169
ID747865529,Not specified,"7196, 6383, 7771, 6280","6071, 7425, 5878, 6775",5.8399170815828985
ID474107417,2,"5001, 6005, 7468, 5940","5104, 6910, 7266, 6092, 7586",2.4543813881263725
ID320441173,4,"5271, 6018, 5920, 7318","7336, 6141, 6086, 7433, 7227",3.2826789276349255
ID39485036,1,7981,6291,6.03435456517345
ID764156364,Not specified,"5794, 5368, 6117","7763, 6236, 7516",4.092953382938394
ID921076997,Not specified,"5058, 7371, 7615, 5661, 5676, 5059","6723, 5220, 7496, 5777, 7524, 7768",3.3992199698507792
ID141855585,3,"6658, 6463, 5756, 7280","5525, 7974, 7256, 5028, 7139",0.8709272236458708
ID20409388,1,"7802, 5583, 6345","5156, 6240, 6052",2.349742892870023
ID838974445,5,"5160, 6447, 6406, 6634, 5059, 5808, 5922","5165, 7011, 5711, 6654, 5618, 5742, 7072, 7445",3.465635082765122
ID170898509,1,6178,6021,1.4463977094078246
ID576926309,4,7450,5303,3.0214041121334536
ID692670239,4,"7091, 6781, 6606","5580, 6569, 7285",3.2130699803515106
ID483190020,4,5321,7247,7.243466247590922
ID534585111,5,"6208, 7736, 7196, 7069, 5635, 7319, 5448","5804, 6612, 7712, 6588, 6113, 6163, 6671, 7757",7.005936062566454
ID134762673,Not specified,"7997, 7279","5209, 7550",0.771932395835037
ID198184110,4,"6274, 6849, 7673, 6728","6099, 6566, 7694, 7327, 7750",2.677032971253376
ID632596073,5,6111,6421,6.216271305551712
ID633985972,Not specified,5270,7869,2.074263369034319
ID672371738,2,"6799, 7085, 5301","6221, 7786, 6057",6.342929445149507
ID556978028,Not specified,"6230, 6507, 5337","6437, 6089, 5374",5.392935598200112
ID825987901,Not specified,5878,7860,5.633671570653923
ID236107631,1,"7113, 6892","6870, 7672",4.394315854495662
ID40671626,3,6120,5465,1.6602960366799808
ID964265848,1,6078,6276,5.870565418376003
ID259048864,Not specified,"7243, 5043, 7986","6216, 6778, 7386",2.253257140644618
ID539967778,4,7048,"7457, 6825",3.585275187137426
ID155942052,Not specified,5975,6461,6.005416769997825
ID867207338,2,"6364, 6236","7011, 7763, 5711",3.698965398577907
ID951713349,3,6595,7614,0.5008367272916927
ID469190019,2,"5701, 6387, 6233","5401, 6473, 7037",2.002924933542461
ID675187003,Not specified,5752,"6428, 7040",0.6038067363733934
ID400870975,2,"6464, 5908","6766, 6959",5.972757557680025
ID671022327,5,7396,5356,2.6126184871213094
ID431160895,1,"5576, 7678, 6847","5471, 6019, 7837",5.240933981300361
ID837003570,1,"6358, 6047","6934, 6515",1.2805769761613504
ID605688364,3,6983,6595,7.163848533092776
ID258362404,2,"5702, 7397, 6845, 5350","7150, 6946, 5925, 7066",4.507491230846656
ID666674897,1,"6141, 7175, 7449","6801, 6790, 7467",4.7285200704513555
ID914171115,3,6328,6774,9.236092827212524
ID222477482,1,7929,7796,4.967138043189978
ID416316259,5,6069,7241,0.0
ID985568632,5,"5910, 6702, 5581, 6720","5293, 7118, 7299, 5666, 7767",3.338259792848159
ID498562026,1,"7116, 7588","7070, 5084",3.357210541964187
ID684373164,Not specified,"7586, 5831, 5414, 7828, 5028","7199, 6864, 7089, 5974, 7422",1.868240303341753
ID653467476,1,7196,7357,3.581403781717717
ID330215214,2,7342,"7722, 5730",2.9660128878907615
ID830608538,Not specified,"6574, 7979, 5420","7044, 6577, 5556",2.4512864902479774
ID835989466,Not specified,"6501, 6538, 5303, 5728","5029, 7460, 6643, 6316",4.580247102483591
ID463286266,2,5900,5565,4.290337441516593
ID917340641,5,"5960, 5545, 6315, 5089, 7686, 5488, 6626","7494, 7902, 7263, 7151, 6932, 5406, 5937, 5654",2.9650230135141387
ID65149475,4,5115,7036,3.6909456920120913
ID366321964,3,"6640, 7937, 7120, 7980","5422, 6426, 6266, 6621, 7802",4.331252739259291
ID550551956,Not specified,"5277, 7159, 7841, 7557, 6032","6473, 5971, 6304, 6024, 7825",1.8743236265475467
ID737136993,5,"6384, 7924, 7251","5664, 6589, 5152",5.021965382634902
ID624238920,5,"5191, 5897, 5611, 7482, 7573, 6680, 5300","6616, 6486, 5485, 6702, 7678, 6513, 6948, 6748",5.099002322284916
ID443516361,5,"6515, 5505, 6203","6790, 6447, 7632",1.5148733600509712
ID394926010,5,"6997, 5032, 6666","6134, 7558, 7655",3.984892557779227
ID33370931,Not specified,"7301, 5379, 5548, 6294","7142, 6584, 6661, 5303",3.0876923187877314
ID234307210,Not specified,"6452, 6123, 6435, 5670","6831, 7024, 7011, 6639, 5711",1.7441587841973885
ID862746530,3,6635,6887,3.914605528257943
ID906425138,2,7261,6393,0.3272952487981886
ID756845714,Not specified,6902,7217,4.362857258988548
ID560898539,3,"7293, 5214, 5229","5352, 5547, 6042",4.675976855777156
ID585509240,Not specified,7787,7036,0.0
ID162343496,4,"6403, 6423, 5160, 7035, 5494","6549, 6739, 6669, 6570, 5715",3.934979165189455
ID177686706,Not specified,5811,6342,4.066307524953735
ID527283021,5,"7883, 6927","5278, 7196",3.008523857559756
ID451167020,4,7382,"5291, 6160",2.3242469666171717
ID41351004,5,6978,7859,4.598473992856271
ID826153587,4,"6170, 6585, 7237, 5866","5654, 6922, 5340, 7166, 5636",3.276776190612063
ID921959195,3,5604,5036,4.118630499972789
ID574578355,4,"6067, 5647, 7062","6744, 5666, 6382",4.4793681943772965
ID341576906,Not specified,7170,7326,3.8995499870390553
ID984958120,4,"5736, 7893, 5265, 5893, 6270, 6607","7296, 6582, 6521, 5128, 7436, 6485",4.1128186718487205
ID248834541,Not specified,5337,6504,3.970015236374276
ID818395183,3,7999,"7767, 5638",5.020863362197826
ID293413171,Not specified,"7234, 7039, 5875, 5743","7611, 5213, 7218, 7930, 6076",2.677857983228964
ID891922695,Not specified,"6276, 5655, 6750, 5246, 5577","6769, 5433, 5431, 6993, 6817",2.607146030621397
ID215484258,Not specified,"7594, 6522, 7878, 6099","6417, 6542, 7619, 5499, 5028",6.155088373277906
ID649934689,3,"7050, 7325, 5006, 7827","7725, 5183, 7734, 7736, 6138",2.797847554156364
ID863120379,4,"7313, 6261, 6288, 6417","7585, 7322, 7475, 6426",5.63298672967772
ID447898147,Not specified,"5957, 7192, 6997","7920, 7422, 6562",4.991073557576787
ID214396783,1,5176,7686,0.44568201093830684
ID321520252,Not specified,6203,"6837, 5431",3.1723596970710473
ID95068040,1,"5565, 5000, 5143, 6911","7903, 5718, 7645, 7624, 5229",4.967082153990658
ID144476196,1,6358,5907,1.9776839915409328
ID298879110,Not specified,"7146, 7631, 5634, 6610, 6060, 7240","7939, 6398, 5102, 7160, 6174, 7103",1.8692376722080482
ID256895890,4,7414,"7740, 6970",4.7476307766012225
ID59329617,4,"6773, 5551, 7835","7306, 6061, 5199",4.370304714804014
ID523524439,2,"6155, 6254, 5612, 5667","6138, 6382, 5357, 5909, 7187",5.9340293201905805
ID917362065,4,"5994, 7742, 7447","6031, 7134, 7763",2.373440780129329
ID226247181,4,5895,6587,4.318011034984279
ID14031222,2,"5391, 5381, 6223, 7891, 5942, 6076, 5704","7166, 6028, 7706, 6702, 6083, 7678, 6122, 7230",4.2981812139340825
ID112551991,1,7206,"6563, 7387",1.8105301678903842
ID19076903,3,7864,7298,4.510522492944169
ID629690360,2,"7338, 5959, 6148, 7935","7029, 7753, 6866, 5524",5.367549986450966
ID590822286,Not specified,6046,6175,6.632206217890092
ID47387019,2,"5433, 7468, 7264","5281, 7417, 7976",2.3002788446427225
ID607508654,5,5575,7128,3.885275998626522
ID462149967,2,5935,5194,3.002312046849764
ID5105235,Not specified,"5828, 5805, 6249","6063, 5055, 7500",4.478826032248285
ID339747116,5,"7769, 5828, 6202","7804, 7610, 7360",6.718455309147253
ID22687597,3,"7970, 6475, 5791, 5857, 5221","5799, 7697, 5797, 5568, 6557",2.888513089222474
ID115092518,5,"7852, 5212, 6244","5128, 6083, 5581",3.092072413746281
ID195464705,4,"5236, 7999, 6870","7040, 7519, 7208",4.464067052633291
ID649616339,3,"6954, 5448","7446, 6883, 5697",6.122249789844966
ID938398679,5,"6505, 6466, 5901","6324, 6484, 6592",2.749886292251776
ID774223365,4,6217,6899,3.2241385453558213
ID853931259,Not specified,"5295, 7654, 7153, 6738, 7287, 6960","7524, 7496, 7766, 7926, 6531, 7164",4.56719824606752
ID960117881,1,"7439, 5509, 5874, 6933","6106, 7873, 7238, 6321",4.520987174860114
ID350102877,2,"7369, 6862","7802, 7826",1.4452361334475992
ID31425813,2,"6628, 6333, 6157","6674, 6398, 7473",2.3491692242517406
ID532346714,3,5340,5901,5.028167472392024
ID865496962,3,"7000, 5760","5471, 5425",2.016734916578892
ID456716681,Not specified,"5419, 6815, 6845, 6814, 7327, 7515, 7627, 5557, 5452","6532, 7969, 5623, 5018, 6789, 6446, 5574, 7854, 6968",3.666172113593246
ID590506,Not specified,"7993, 7774, 7018","5140, 7437, 7599",4.525468661153537
ID607280424,1,"5115, 7853, 7619, 6384","7161, 5629, 5383, 6173, 5177",1.487905315148617
ID789643136,4,"6691, 5974","5797, 6954",6.582990956420631
ID536460722,4,"5612, 5414","6453, 7110",0.7520369487247343
ID881532779,1,"5762, 6934","6856, 6437, 5001",3.562117608742968
ID189599079,2,"6237, 6598","7020, 6301, 6647",3.7511316719605223
ID610564658,Not specified,"6619, 5846, 7011, 7072","6488, 5645, 7785, 7379, 6854",3.139873066888122
ID179555473,5,"7659, 7828, 5852, 5407, 7546, 5057","7069, 7544, 5315, 7221, 6940, 5121",3.3562638778701412
ID690616210,2,7201,"6458, 7991",1.531685175790687
ID781074551,3,"7389, 6781, 5686","6627, 7372, 5396",2.672322960088065
ID854628599,5,"6724, 6811, 6855, 7846, 6886","7486, 7853, 7921, 5382, 6006",5.526821784512441
ID47035251,Not specified,"7954, 5976, 5568, 5019, 7547, 6770","5994, 6212, 5330, 6253, 7532, 7742",3.337286074928778
ID353225866,4,"5893, 5265, 6050, 7617, 6389, 6717, 6039","6549, 7008, 6145, 7430, 6654, 5727, 7514, 7959",5.841235019670957
ID278392399,2,"6117, 5038","6536, 5092",3.268543574607112
ID453931034,2,"5857, 5720, 5169, 6355, 5748, 6609, 7880","5776, 7605, 6992, 7636, 5716, 6389, 7121, 7276",4.1111178191538285
ID395706740,5,"6668, 7220, 5603, 7346","5704, 6305, 7939, 5458",5.125212297766095
ID337743501,2,"6919, 6363, 6744","5045, 5588, 6199",1.8395351282142884
ID58194319,Not specified,"5221, 7662","6583, 7375",0.8052739859382416
ID941845487,1,"5160, 7371","6776, 5403",3.124180909075541
ID917088108,5,"6158, 5727, 5077, 6144","7718, 6705, 7860, 6711, 7229",2.175934145949733
ID102224088,3,"6601, 6460","7409, 5083",1.9684978321137554
ID675111145,Not specified,5141,"6970, 5279",3.4044246697109743
ID411103642,3,"7233, 7187, 5428, 7614","6205, 6994, 7065, 6968",2.5399805323373843
ID707025296,2,6258,7850,4.737335121126196
ID807054666,2,5102,"6497, 7235",6.468641057456338
ID589763080,5,"5660, 7585","7881, 6198, 7691",7.220456709985733
ID260192866,5,7545,6070,5.784284986963613
ID661345066,Not specified,7347,7866,5.8900566466652275
ID285350863,2,5731,6739,1.1496035852691078
ID202118226,2,6849,"6372, 6412",5.02364071712643
ID450214167,Not specified,6202,6714,2.8303312106231835
ID80549898,4,7356,5652,1.1109275017375797
ID423030916,Not specified,"5087, 6446, 7854, 5344","6324, 7930, 6605, 5497, 7000",3.744804869333427
ID468979948,Not specified,"7353, 7449, 7114, 5760, 6391, 6395","7873, 6412, 6718, 7670, 5729, 5411",3.754526168954319
ID231173835,4,6702,6534,4.359625249518116
ID357896943,Not specified,"7551, 6523, 5878","7667, 5099, 6105",3.158648798066985
ID867436400,4,6466,5680,1.8357940333727432
ID834801572,Not specified,7004,5855,1.7743762747902112
ID408206103,2,7683,"7961, 6489",3.2971138926586727
ID609306629,5,"5132, 6979, 7786, 6414, 7668, 5028","6819, 5499, 5234, 7069, 6152, 7026",2.813993697230744
ID283755136,4,7670,5024,2.718891919262503
ID386812512,5,7412,6743,1.5642140328519194
ID649486537,Not specified,"6573, 7344, 7369, 7239","5140, 5176, 6760, 6787, 5992",2.145501208867513
ID871350452,Not specified,7642,5081,4.739465856814888
ID107852867,Not specified,"7089, 7683, 6267, 6953","6244, 6312, 6292, 6498, 5838",1.609598043954818
ID629828376,1,"6836, 7548","6289, 7823, 6805",2.151656960378294
ID455299318,4,"7991, 7793, 7707","7576, 7932, 6581",4.03722049950619
ID649800372,5,6565,"5420, 6352",5.520008978056232
ID158501769,Not specified,"5885, 5505, 5011, 5060","7866, 5253, 5857, 6606",5.679280631282497
ID302472889,3,"5139, 7788, 5397","7295, 5557, 5458",2.9558729776180748
ID634469832,3,5692,6802,4.121164130473345
ID257706369,3,7769,7837,5.253805335483483
ID796128629,5,7643,6466,3.4754485897966503
ID61338388,4,5193,5043,5.251333731335108
ID716307248,2,6902,6972,3.7318925242875323
ID130538973,3,7952,5913,2.8260594784691273
ID965471754,5,7770,6655,3.664851716067212
ID559510422,1,6712,6036,1.4118739616225204
ID158141633,1,7953,5236,5.872429795928183
ID558499313,1,"6986, 7062, 6067, 7140, 5279, 5411","7739, 7960, 6204, 6324, 6836, 5623",5.8010725960374785
