Book ID,Book Genre,Barcode,Difficulty (Reader suggested),Number Of Words,Price (2017),Price (2018),Most Sold At,Number Sold
5057,5,#5-458835,3,2740,13.521878231407118,13.109266522376451,PythonBooks,3402
5058,0,#0-350088,2,1418,37.227636685088925,37.237612902619205,PythonBooks,2380
5059,0,#0-357059,4,2894,35.85087259537903,37.65105260290143,EduBooks,4121
5060,30,#30-498267,3,1739,8.1523321923185,10.15087026070954,PythonBooks,1709
5061,5,#5-427920,3,4599,17.91369308530691,17.87051512494682,EduBooks,4386
5062,11,#11-424428,3,2834,49.99653995306162,51.087349722830034,EduBooks,369
5063,24,#24-333185,4,4014,46.646684687697295,47.59471083713336,EduBooks,4912
5064,26,#26-476191,3,2438,40.503148391743146,41.98996242277997,Level 5 Daniel Shop,2053
5065,9,#9-403808,2,767,19.187209038873135,20.225305449793844,Level 5 Daniel Shop,698
5066,3,#3-326111,3,2885,36.61653401096893,38.41810831771332,Daniel's Bookshop,3635
5067,8,#8-462262,4,3991,41.578490415349165,43.13007789954001,PythonBooks,3104
5068,10,#10-414646,5,223,13.148275547455349,13.50608079456442,DHC-Online,1600
5069,8,#8-382792,1,2031,11.012087786715787,12.429998933979144,Level 5 Daniel Shop,704
5070,5,#5-468513,3,4129,1.770524133993502,3.214237867580425,Daniel's Bookshop,2699
5071,21,#21-345841,2,4431,37.11401795491439,38.448290357151016,PythonBooks,179
5072,0,#0-486088,1,3753,34.774937125154246,36.0485199902774,EduBooks,2002
5073,10,#10-434772,1,4722,16.191332354970736,17.100086634303892,Level 5 Daniel Shop,4091
5074,3,#3-389983,1,814,33.693525886701416,34.8591712704525,Daniel's Bookshop,2223
5075,11,#11-352868,2,2196,33.60539590770843,33.48946898337227,PythonBooks,4879
5076,20,#20-478296,2,1597,11.814750544116254,13.452981116700885,DHC-Online,668
5077,10,#10-356425,1,1701,11.44685708253846,11.667191452911277,Daniel's Bookshop,4876
5078,25,#25-432333,5,2425,17.759088313227746,17.543143678729127,Daniel's Bookshop,4725
5079,4,#4-466824,3,4076,28.582228843249297,28.24122635792484,PythonBooks,3064
5080,23,#23-350623,5,3167,44.22602800069702,43.74635334230939,PythonBooks,4221
5081,15,#15-311116,3,914,2.7777441454030845,3.6236512240846173,EduBooks,471
5082,27,#27-342551,3,4660,1.32167407086812,3.007554205984113,EduBooks,4809
5083,6,#6-463693,2,3885,4.19927158837984,5.050159175344581,EduBooks,2920
5084,6,#6-389482,2,3320,19.005898366861356,19.486561023406768,Daniel's Bookshop,3489
5085,16,#16-368655,5,147,40.018179450816135,41.027755035717554,EduBooks,3518
5086,30,#30-406548,2,2122,30.885622698537084,30.829242813654627,PythonBooks,2238
5087,12,#12-397729,2,1422,41.12124087617939,43.04960399020961,PythonBooks,3543
5088,29,#29-315102,4,202,10.921282856209189,11.593396512122279,EduBooks,2097
5089,1,#1-369530,4,1112,1.1662674997695666,1.388899554149393,PythonBooks,1397
5090,4,#4-472656,1,3533,14.84862677231225,14.969191125901636,PythonBooks,164
5091,29,#29-471310,3,2515,18.040216486026427,19.73725081538598,Level 5 Daniel Shop,2022
5092,1,#1-364118,5,944,23.067404303010857,25.005349001281996,Level 5 Daniel Shop,4538
5093,19,#19-479239,2,2351,21.33642255144189,21.668006154069893,Daniel's Bookshop,986
5094,9,#9-303483,1,3752,47.15541120484827,48.60438403526573,Daniel's Bookshop,1321
5095,24,#24-392877,1,708,14.475475763506012,15.282719915389928,EduBooks,1846
5096,13,#13-363789,4,4830,27.947803016007207,28.369286377860394,DHC-Online,3310
5097,9,#9-426840,5,2984,41.42036609210436,42.23103754918403,EduBooks,2459
5098,8,#8-358911,3,1302,15.41067543114131,15.545176560817957,Level 5 Daniel Shop,3286
5099,7,#7-428023,1,3581,4.184895588766063,3.7769141994206517,PythonBooks,4414
5100,1,#1-378175,2,2925,29.220085551604665,29.856747966781416,Level 5 Daniel Shop,3706
5101,7,#7-316234,4,532,39.513673566203785,41.26551217843482,Level 5 Daniel Shop,4060
5102,24,#24-422831,1,3942,40.113078125214486,40.158669916579456,EduBooks,2792
5103,10,#10-455735,5,226,37.82258912242325,39.74012508051935,DHC-Online,3907
5104,15,#15-476753,3,4998,28.139758648292325,29.529752751940336,EduBooks,4260
5105,18,#18-415986,5,4744,26.128209870487762,27.76845001951917,EduBooks,4713
5106,17,#17-444255,1,1372,9.570233950755702,11.082302163051043,PythonBooks,1668
5107,2,#2-428582,3,3323,10.872440532178977,11.123852923714711,Level 5 Daniel Shop,1875
5108,27,#27-398857,4,3489,47.19678690004513,47.21002223653437,Daniel's Bookshop,1665
5109,26,#26-307088,4,4714,38.56206522891419,38.44153865858619,Level 5 Daniel Shop,2499
5110,9,#9-345692,1,439,10.511928231014549,12.472315744429913,EduBooks,926
5111,11,#11-345341,5,115,44.2531516309302,45.00613600141279,DHC-Online,4822
5112,22,#22-384285,3,1845,46.525388479276515,46.077220941950266,Daniel's Bookshop,3720
5113,21,#21-311927,2,755,31.540122599475612,31.94635742477439,Daniel's Bookshop,859
5114,20,#20-355846,2,1888,12.53771871894909,13.845233395062795,EduBooks,3089
5115,17,#17-465864,2,2249,2.9193302675227564,3.708831797904468,EduBooks,1832
5116,3,#3-415212,1,2931,6.423733880328985,6.955913929985398,DHC-Online,398
5117,11,#11-447109,5,2297,39.251578378469915,40.01465195555878,Level 5 Daniel Shop,3771
5118,25,#25-497443,1,1395,24.487082284944897,26.009637257147652,Level 5 Daniel Shop,3021
5119,27,#27-396965,4,1690,46.400658159392776,47.34407316779425,Level 5 Daniel Shop,4068
5120,15,#15-394895,1,2126,49.1438042002459,50.40086693220653,Level 5 Daniel Shop,1842
5121,12,#12-337815,1,861,6.10156836695852,7.463319701192301,Daniel's Bookshop,2914
5122,15,#15-386027,4,4887,18.25602959196581,18.79084395659191,Daniel's Bookshop,958
5123,16,#16-467854,3,1264,24.684145519637966,25.226106581297877,Level 5 Daniel Shop,1563
5124,1,#1-487853,3,2985,14.54608190711011,16.261037418371313,PythonBooks,3242
5125,13,#13-379358,3,2473,43.04533927810758,43.900358758722476,DHC-Online,1438
5126,18,#18-354882,2,1073,18.932980037814136,19.686811328212677,Daniel's Bookshop,812
5127,28,#28-427040,1,2209,2.9639256429359717,4.409581083955283,EduBooks,3188
5128,6,#6-475437,3,4376,22.18825588166738,22.463231509511573,PythonBooks,3889
5129,10,#10-397654,1,2793,22.897948703331902,24.888583499465007,PythonBooks,4073
5130,9,#9-470657,2,3019,10.546337965063406,12.238383522589665,DHC-Online,2354
5131,15,#15-389028,3,2488,18.858979446461273,18.992992853243056,Daniel's Bookshop,1504
5132,1,#1-349825,3,1241,19.17341011268387,20.99316431956832,Level 5 Daniel Shop,3434
5133,19,#19-311608,5,878,18.85585142454068,20.45122510921347,PythonBooks,4478
5134,11,#11-362993,1,2107,42.9249062400134,44.19345942553792,Daniel's Bookshop,4240
5135,9,#9-328753,4,3301,4.173897311135322,4.376398148060112,DHC-Online,3196
5136,16,#16-332570,3,3316,34.719826694595284,34.316991423645526,DHC-Online,1501
5137,2,#2-494640,4,4025,30.364195364064525,30.812482232169575,Daniel's Bookshop,900
5138,16,#16-482872,3,2058,47.41071196400808,49.3981122725002,DHC-Online,2243
5139,29,#29-480282,3,2824,24.305884705294307,25.94849411954632,PythonBooks,1232
5140,19,#19-466353,3,1282,29.254040233883327,29.973236382026016,DHC-Online,889
5141,21,#21-492482,1,2573,48.17551947633034,48.67029475827706,Daniel's Bookshop,3923
5142,14,#14-424059,1,3518,8.926466782938187,9.759747371820144,Level 5 Daniel Shop,2307
5143,24,#24-372315,4,4275,33.29178535887284,35.23320975382501,Level 5 Daniel Shop,4148
5144,1,#1-450361,3,4260,12.646104374291685,12.39819176628253,EduBooks,2163
5145,14,#14-391107,2,4237,21.93217227773101,21.820480347243436,DHC-Online,4549
5146,9,#9-381766,3,1183,38.69928388212135,39.931975936237805,PythonBooks,1794
5147,10,#10-345566,4,2771,44.36811225172551,43.973282955633145,Level 5 Daniel Shop,3284
5148,9,#9-372052,4,4122,34.460025343399636,34.47812190234641,PythonBooks,1992
5149,0,#0-461211,5,2408,44.89358771648691,45.401324892986985,DHC-Online,2393
5150,2,#2-422440,4,4486,32.557042277724,32.47439504300679,DHC-Online,1274
5151,25,#25-491886,5,3112,49.94458444148503,50.38922706713637,EduBooks,1447
5152,25,#25-316583,2,3727,7.213824322388577,9.073591105912241,Level 5 Daniel Shop,3158
5153,3,#3-331266,3,2895,1.4724720663317705,1.354018073549957,EduBooks,1601
5154,23,#23-328194,1,4698,16.762316701250587,17.046347921065095,Daniel's Bookshop,2714
5155,1,#1-479661,5,1276,3.646685618359676,3.584236886472709,PythonBooks,3029
5156,23,#23-378456,3,1035,46.222404804734495,47.816894115819515,EduBooks,2117
5157,6,#6-354484,3,1563,32.01112267925601,33.0486108315148,Level 5 Daniel Shop,721
5158,26,#26-340514,4,4172,11.683102355595324,12.706437994576692,EduBooks,796
5159,10,#10-348528,2,3751,31.997650321916513,33.26926152118074,Daniel's Bookshop,4297
5160,0,#0-424778,3,2513,7.229850561984781,7.69483721137552,Daniel's Bookshop,1909
5161,14,#14-372146,4,872,23.223538786273693,24.741758625353196,Level 5 Daniel Shop,1885
5162,10,#10-406994,2,2006,19.07237969605308,19.3351455053857,PythonBooks,2875
5163,26,#26-438697,2,2444,24.263341670808114,25.09188250191674,DHC-Online,1015
5164,8,#8-356699,2,1666,36.005283026725905,37.09339504163065,PythonBooks,4386
5165,6,#6-431931,4,4827,30.177479046525384,30.462400767870683,Daniel's Bookshop,2599
5166,27,#27-423580,3,4536,21.52422289815388,21.137081430366557,Daniel's Bookshop,204
5167,27,#27-412767,3,2688,19.463768329007806,20.260465024408617,Level 5 Daniel Shop,1332
5168,29,#29-472864,2,430,22.752862044548625,22.773334459170208,Daniel's Bookshop,2293
5169,20,#20-421690,3,4277,25.070111351216156,25.74535330741246,Level 5 Daniel Shop,4738
5170,17,#17-444590,1,3658,5.118816605119708,6.68176461188217,DHC-Online,2084
5171,7,#7-486501,3,2798,43.204259787950676,42.93092737815149,PythonBooks,4135
5172,12,#12-364653,3,3773,12.907417816889138,14.762600515254915,Level 5 Daniel Shop,1953
5173,28,#28-467504,3,2960,3.93083839540669,5.22990534832442,DHC-Online,3815
5174,24,#24-351321,2,165,44.845038471386815,45.18392289868225,PythonBooks,3409
5175,1,#1-301228,2,2393,8.0540572745895,8.987824534755044,DHC-Online,3570
5176,19,#19-450423,5,4935,6.961127485662412,8.875433458186016,EduBooks,1417
5177,13,#13-340779,3,1230,20.05913706333279,19.59707647240103,PythonBooks,4517
5178,7,#7-446223,5,4062,48.61906742721944,49.660432664448585,Daniel's Bookshop,1825
5179,27,#27-406675,4,3997,15.707195661979185,16.108021268160886,DHC-Online,2625
5180,4,#4-495258,5,3687,38.7958682564531,40.00000869418218,EduBooks,3326
5181,20,#20-465498,5,3019,42.94315448047281,44.71327343639219,EduBooks,1524
5182,19,#19-420199,3,937,41.56749944563667,41.923907257221465,Daniel's Bookshop,3147
5183,8,#8-481808,1,2070,30.573771186548484,31.66437132723934,PythonBooks,2464
5184,19,#19-443606,1,113,13.026036400724522,14.110677370468524,DHC-Online,1624
5185,0,#0-307195,3,3444,21.95676101715862,23.932355728134524,Daniel's Bookshop,2316
5186,24,#24-498271,4,4795,23.558630975378886,23.203895604637857,Level 5 Daniel Shop,3364
5187,4,#4-360529,3,694,24.110414041714854,26.036568190466106,DHC-Online,3562
5188,28,#28-324419,1,4203,27.661439674171895,29.577145214843803,DHC-Online,1175
5189,10,#10-401889,4,2319,26.49650897214629,27.984666742743386,Level 5 Daniel Shop,1267
5190,0,#0-471417,2,4031,4.7830849993643545,4.557895074018147,Daniel's Bookshop,2584
5191,25,#25-447923,2,439,11.936263711555887,12.75974606382987,DHC-Online,3019
5192,9,#9-350457,4,1587,27.600836153030198,29.423531680635193,PythonBooks,1900
5193,4,#4-406659,5,2120,8.980912020785624,9.981127268323638,EduBooks,1030
5194,8,#8-379097,4,3739,11.459186433448686,12.067931528126383,EduBooks,1251
5195,11,#11-323382,5,1450,3.1693372103437287,4.81858920201751,PythonBooks,1827
5196,9,#9-387082,1,2028,39.86641412655367,40.61219858657827,EduBooks,1074
5197,7,#7-324988,2,3784,5.974490449123783,5.884322976854216,PythonBooks,2301
5198,19,#19-340914,2,4799,29.178736872220718,30.37765560833966,Level 5 Daniel Shop,4439
5199,1,#1-424168,4,2471,41.32514782142083,41.01488831394577,PythonBooks,513
5200,24,#24-416387,1,2479,15.267715605315386,17.197850414044865,Daniel's Bookshop,4611
5201,29,#29-494043,2,1582,9.260936886766821,10.134705934381559,DHC-Online,2545
5202,24,#24-351345,5,4921,7.0379270084797945,8.63802490474544,DHC-Online,2278
5203,24,#24-379161,2,1099,27.30284802932874,28.332436162627182,EduBooks,2342
5204,26,#26-489631,5,3431,6.099403916550247,6.1265740996489555,PythonBooks,2601
5205,2,#2-340457,4,495,19.82344295827547,20.130687103940375,Level 5 Daniel Shop,1395
5206,23,#23-319780,1,4221,16.931906175364848,17.03525122901681,Daniel's Bookshop,1481
5207,20,#20-489256,2,3376,31.185526392872937,31.138306484755066,PythonBooks,2474
5208,26,#26-358258,2,1125,31.672393941530792,32.229417196121496,PythonBooks,2330
5209,27,#27-436193,2,2389,49.046667425097716,50.94535040083829,EduBooks,3270
5210,22,#22-390224,5,828,28.956778180615068,30.556390711042837,Level 5 Daniel Shop,4741
5211,23,#23-319367,4,2261,41.347007754960664,42.99195900594374,DHC-Online,4133
5212,23,#23-369281,1,3988,5.797965103670906,5.628357066136646,EduBooks,302
5213,6,#6-396147,5,4833,23.499332550383944,23.86112287393367,Daniel's Bookshop,2875
5214,12,#12-441368,4,4064,15.997505325111383,16.88890318493292,PythonBooks,3407
5215,21,#21-499392,4,799,10.255440031585026,11.224106818538898,Level 5 Daniel Shop,3499
5216,21,#21-301232,3,1035,47.73993071182775,49.344785640623535,Level 5 Daniel Shop,3275
5217,8,#8-424500,4,330,11.446482379895492,12.363010849766992,PythonBooks,4249
5218,21,#21-482382,3,1578,9.469519963531038,10.710874452829025,PythonBooks,2485
5219,12,#12-427983,2,4993,7.218135666644363,7.353305570824302,EduBooks,3812
5220,6,#6-446437,4,3710,20.234012273621484,20.57073988660827,DHC-Online,1167
5221,20,#20-430145,3,1790,4.848412249123874,5.159485876735965,Daniel's Bookshop,4154
5222,24,#24-484335,4,423,19.682015327239636,21.131659864652057,DHC-Online,599
5223,23,#23-478824,1,2275,33.68682312721275,35.13809196768694,DHC-Online,1482
5224,4,#4-338492,1,2085,49.10825877203061,50.319668017279966,Level 5 Daniel Shop,3138
5225,3,#3-324682,5,2559,6.469952432268728,6.6441812802609626,Level 5 Daniel Shop,2713
5226,11,#11-396527,3,2288,48.57135739432965,49.0869711300659,DHC-Online,1777
5227,29,#29-455827,4,2689,31.444891587663143,32.87838976458524,Level 5 Daniel Shop,3082
5228,10,#10-315500,3,835,39.05376295128347,39.0858895651419,Level 5 Daniel Shop,3777
5229,12,#12-347247,3,2678,32.421233271219904,32.765725430789786,DHC-Online,4082
5230,7,#7-388640,5,504,32.56921988390705,33.27390152321543,Level 5 Daniel Shop,903
5231,28,#28-431174,5,1198,25.157952058176175,24.880158791754113,PythonBooks,717
5232,18,#18-346689,1,4885,38.30694478311014,39.28948185042892,PythonBooks,3664
5233,1,#1-347251,1,3971,37.449981267178075,37.68901992770436,Level 5 Daniel Shop,991
5234,5,#5-359372,5,3825,41.47900951801237,41.470639393165804,DHC-Online,4100
5235,12,#12-359900,3,2310,45.166771916819144,45.93313820446608,EduBooks,2327
5236,5,#5-315334,5,174,49.95172677707588,50.38923805888518,PythonBooks,3595
5237,23,#23-460639,3,325,45.435770629124406,46.957343534210196,Daniel's Bookshop,1573
5238,11,#11-491095,4,2722,24.567654827974007,26.107568946839045,Daniel's Bookshop,2979
5239,26,#26-463604,2,246,30.57624997594349,31.93434176150537,EduBooks,2180
5240,9,#9-381593,4,4544,36.10833984872428,36.857361908710295,PythonBooks,1425
5241,11,#11-382956,4,775,15.209141581236395,15.901649953143984,DHC-Online,348
5242,8,#8-494490,1,1393,31.185059924990536,31.347648814353796,EduBooks,694
5243,28,#28-319473,4,3610,37.088167779892544,38.90382199259388,EduBooks,702
5244,15,#15-314107,3,1303,7.481590331602602,9.288320479347867,Level 5 Daniel Shop,3424
5245,26,#26-389940,4,3436,44.0911637470567,44.22392311291944,PythonBooks,4209
5246,8,#8-422293,3,706,13.91769589940238,13.633800184069381,Level 5 Daniel Shop,4781
5247,27,#27-367964,4,3871,6.501433449381999,8.026935030538489,Daniel's Bookshop,961
5248,12,#12-323693,1,2177,20.954735831708778,21.50553714036182,PythonBooks,1576
5249,30,#30-387737,3,328,32.217137170096564,33.29843424357751,Daniel's Bookshop,2704
5250,20,#20-451569,3,1743,4.117904622559449,5.733716255952212,DHC-Online,573
5251,16,#16-342956,4,587,7.524210702347662,9.453471330135194,Daniel's Bookshop,1899
5252,15,#15-468113,4,2285,12.995394841362335,12.922382060126893,Level 5 Daniel Shop,3479
5253,20,#20-396387,3,816,43.93335750307676,45.67376706644798,DHC-Online,2948
5254,28,#28-478432,4,2165,20.861002503632704,21.84785946347409,DHC-Online,830
5255,14,#14-423233,4,3103,2.0680361785012873,3.3553840270242983,Level 5 Daniel Shop,2415
5256,6,#6-406779,4,3317,35.09031603215158,34.83292592368665,PythonBooks,3250
5257,8,#8-408957,2,1652,36.18744268866175,37.189901700234465,DHC-Online,1395
5258,6,#6-378241,3,589,38.17094437244988,39.78165887349768,DHC-Online,3839
5259,10,#10-321089,5,716,6.673969607633,8.631053629363477,PythonBooks,2293
5260,7,#7-409799,2,139,49.84677983287438,49.961735367261596,Daniel's Bookshop,4069
5261,18,#18-446635,1,3281,19.842449487369763,21.8119241844107,DHC-Online,870
5262,11,#11-477640,3,4495,37.23948796728227,37.6921265715318,DHC-Online,2814
5263,6,#6-306353,3,1009,13.205610207838431,14.846944856767756,Level 5 Daniel Shop,3015
5264,21,#21-322064,5,3321,42.85182553692905,43.2555121544697,PythonBooks,2722
5265,24,#24-445657,4,2362,18.518627449398505,18.344060832008974,Daniel's Bookshop,4878
5266,29,#29-377328,5,1975,8.913662390600878,10.609748600750988,DHC-Online,4965
5267,8,#8-456002,5,3889,40.35748291622693,42.20737303112631,PythonBooks,588
5268,3,#3-453609,3,506,19.820455629234395,21.720697275422502,DHC-Online,2531
5269,21,#21-462561,5,829,45.13130398243746,45.35313420136642,PythonBooks,2016
5270,28,#28-395178,5,1444,7.202860869342398,8.96846164777894,EduBooks,971
5271,7,#7-320582,2,4706,35.0882576254703,35.323281501450936,PythonBooks,4662
5272,24,#24-330295,5,4145,38.8027355395729,38.564227005578225,EduBooks,2543
5273,21,#21-406587,3,3622,31.38965994144167,33.01387556900695,EduBooks,2699
5274,16,#16-401406,4,1540,22.159523896067824,23.56971839523214,PythonBooks,4116
5275,5,#5-492693,3,2807,26.603379946647394,27.236787950504034,Daniel's Bookshop,4798
5276,26,#26-326542,4,3132,4.188944344748371,5.755915278385599,EduBooks,250
5277,8,#8-373579,4,4566,46.226382851455334,45.984694174754374,PythonBooks,321
5278,5,#5-381089,1,4258,9.923501852165552,10.765042291010786,PythonBooks,4531
5279,21,#21-375043,5,2222,27.30062839078526,28.406432512210085,Level 5 Daniel Shop,1782
5280,10,#10-420463,3,1144,19.32456163815292,21.016108155698696,EduBooks,475
5281,10,#10-301768,4,899,23.08967427233717,24.904540254825115,DHC-Online,1649
5282,10,#10-335321,2,765,25.71694591065431,26.97151726014554,DHC-Online,4742
5283,30,#30-349687,2,2320,21.213925525592433,21.66409400029359,DHC-Online,3986
5284,13,#13-465134,5,4797,25.65527040906555,25.61453268049643,DHC-Online,3478
5285,19,#19-435411,1,2364,20.05786623728441,19.903696149160606,PythonBooks,4013
5286,20,#20-329875,5,4960,49.462878799401366,51.19063068023694,Level 5 Daniel Shop,1124
5287,26,#26-314308,4,3163,40.65585438436443,40.94619569021707,Daniel's Bookshop,391
5288,9,#9-454044,2,1240,4.790586394558549,6.264301784249749,Daniel's Bookshop,3597
5289,28,#28-410646,3,3178,21.109425737360684,22.33346310292417,DHC-Online,4666
5290,10,#10-478949,3,4590,27.375949425798048,27.92712408068566,DHC-Online,4913
5291,20,#20-383779,2,1236,30.02419558592476,30.31217609614608,EduBooks,3767
5292,30,#30-330701,2,2365,38.9736097990289,39.051637162793966,DHC-Online,1677
5293,14,#14-402397,4,402,39.3329208939217,41.089897735795184,Daniel's Bookshop,2080
5294,4,#4-306624,5,4011,9.623806924609626,10.40461628507449,Level 5 Daniel Shop,3170
5295,2,#2-470805,4,733,37.65300493094651,37.474827486546914,EduBooks,4569
5296,6,#6-453805,3,3005,12.056962591808073,11.9230072419513,PythonBooks,2768
5297,23,#23-304515,4,4105,15.179438689791565,16.942079236707713,DHC-Online,1237
5298,27,#27-308730,1,1732,36.809396028816835,37.141326552011456,EduBooks,4769
5299,4,#4-355401,4,1971,2.505736338956858,3.5352513359507824,PythonBooks,1669
5300,23,#23-344280,4,2886,41.43839163508803,41.56505767798747,Level 5 Daniel Shop,1243
5301,9,#9-332532,4,2483,35.216081144550834,35.86860616508908,DHC-Online,2098
5302,4,#4-344199,2,102,1.6869871441976134,1.9112192269934596,Level 5 Daniel Shop,1796
5303,12,#12-371041,4,2133,18.754629789239775,18.919489706954632,Level 5 Daniel Shop,3731
5304,16,#16-326540,4,4097,5.130988580307388,5.67657911058194,Level 5 Daniel Shop,2815
5305,14,#14-313906,3,3293,45.1361219708725,45.590203659989214,PythonBooks,1267
5306,12,#12-484884,1,2275,39.36760828636571,40.24474992220867,EduBooks,4762
5307,11,#11-311172,2,1203,29.400908479970106,30.146250679408308,Daniel's Bookshop,3204
5308,10,#10-360426,1,4019,22.87090372671511,22.728811376723844,EduBooks,1780
5309,6,#6-449978,5,1187,31.462229513146724,32.43605082681212,Level 5 Daniel Shop,3391
5310,9,#9-491458,4,1539,46.96263911014938,46.48436439486517,EduBooks,4664
5311,17,#17-351025,4,4593,20.19805677728819,20.535401548150855,PythonBooks,3435
5312,26,#26-313296,3,4880,47.23954109426109,47.76065896604511,EduBooks,539
5313,21,#21-428422,5,799,44.93897433885006,46.28239570010282,PythonBooks,1372
5314,13,#13-470488,5,2798,16.890810815272207,17.438635255921344,PythonBooks,3092
5315,12,#12-392241,1,2740,43.23954004438826,42.765943928401185,PythonBooks,1269
5316,26,#26-311533,5,232,13.327627040430073,14.430674261384082,EduBooks,4701
5317,16,#16-483801,2,4089,1.0525652407276103,2.0419882329832517,Daniel's Bookshop,122
5318,14,#14-465615,1,3227,8.520095459889966,10.483432899081617,DHC-Online,341
